,Unnamed: 0,storeNumber,latitude,longitude,postalCode
358,4310,7074-149408,33.710863,-112.201599,853102617
359,4311,29155-251665,33.602448,-112.290158,853513432
360,4312,14177-290854,33.843354,-112.137464,85086
361,4313,22005-138187,33.600661,-112.288801,853513433
362,4314,25584-240129,33.6713,-112.220893,853088218
363,4315,21989-106025,33.844465,-112.133749,850866056
364,4316,53412-284007,33.466557,-112.504812,85396
365,4317,6894-84202,33.652038,-112.233523,853080507
366,4318,72123-3569,33.53815,-112.3557,853091700
367,4319,5622-224206,33.637716,-112.232619,853823848
368,4320,25205-237525,33.638054,-112.230755,85382
369,4321,5376-1128,33.671724,-112.20241,853086843
370,4322,74450-94951,33.668655,-112.202736,853086659
371,4323,56491-290161,33.642059,-112.22345,85308
372,4324,21316-211384,33.434164,-112.558253,853266303
373,4325,73583-79483,33.799713,-112.127161,850863200
374,4326,74401-83387,33.564162,-112.288447,853457323
375,4327,73971-138188,33.669689,-112.188801,853086844
376,4328,6733-285626,33.610397,-112.234821,85381
377,4329,47582-257024,33.508979,-112.357453,853403084
378,4330,48884-245840,33.509658,-112.35559,85340
379,4331,51259-245842,33.785869,-112.119645,85085
380,4332,54834-286591,33.784369,-112.11822,850855247
381,4333,5036-106034,33.637208,-112.200676,853083607
382,4370,48148-261245,33.640869,-112.03094,850322420
383,4371,54261-285894,33.654715,-112.014042,850321207
384,4372,73175-21704,33.652953,-112.029721,850321099
385,4373,5829-250030,33.607139,-112.065548,850225305
386,4374,79791-101006,33.608728,-112.06698,850224844
387,4375,47951-246504,33.638732,-112.053827,85022
388,4376,14560-108520,33.642001,-112.064998,850222401
389,4377,74284-74767,33.641589,-112.067082,850222313
390,4378,76656-108201,33.639236,-112.068878,850226698
391,4379,8606-93575,33.63899,-112.070428,850226317
392,4380,54681-286608,33.653715,-112.064004,85024
393,4716,79557-106066,32.263262,-109.84228,856431437
394,4717,3923-145470,31.970835,-110.30955,856026501
395,4718,79759-136613,32.83768,-109.73538,855525446
396,6019,79515-96792,33.390497,-112.049142,850424434
397,6020,76262-90568,33.379091,-112.034174,850426910
398,6021,9414-95702,33.37867,-112.030686,850426952
399,6022,14593-112345,33.378833,-112.101846,850416573
400,6023,60590-294488,33.377806,-111.974686,85283
401,6024,74722-65080,33.348072,-111.981878,850441627
402,6025,60976-295275,33.390536,-112.134294,85041
403,6026,5468-1417,33.380974,-111.964515,852826402
404,6027,23634-228544,33.407134,-111.965159,852821105
405,6028,8103-95836,33.349562,-111.964658,852841024
406,6029,70315-140365,33.316675,-112.005424,850447114
407,6030,50794-276117,33.332414,-111.977882,850443364
408,6031,74940-101009,33.306853,-112.053759,850486267
409,6032,48028-256724,33.330398,-111.978586,85044
410,6033,5560-290567,33.37867,-111.947075,85282
411,6034,2837-90926,33.421677,-111.951958,852813463
412,6035,53805-284824,33.334921,-111.967238,85284
413,6036,54317-281769,33.321701,-111.98095,85044
414,6037,7970-95703,33.442156,-111.955591,852811277
415,6038,48697-255545,33.42281,-111.940823,85281
416,6039,21438-97176,33.303698,-111.998777,85044
417,6040,5340-1014,33.425628,-111.940148,852812829
418,6041,74101-22842,33.303283,-111.996408,850488888
419,6042,79775-110404,33.376296,-112.166309,853397310
420,6043,29866-255358,33.422203,-111.936907,85281
421,6044,75178-78040,33.416586,-111.934226,85287
422,6045,75197-78022,33.418185,-111.934737,852811324
423,6046,5898-35199,33.317381,-111.968225,852261528
424,6047,75278-78041,33.418217,-111.931893,852879989
425,6048,17800-181285,33.379334,-112.170277,85339
426,6049,6966-85340,33.304414,-111.983595,850480433
427,6050,6874-85694,33.652483,-112.18569,853081255
428,6051,60026-294114,33.53857,-112.256362,85305
429,6052,10259-99925,33.581363,-112.202398,853021001
430,6053,5465-1129,33.611166,-112.18527,853064006
431,6054,72593-102521,33.509645,-112.339471,853403034
432,6055,11892-105919,33.508969,-112.341495,853403057
433,6056,9450-95709,33.508023,-112.275625,850375003
434,6057,58300-291864,33.567284,-112.186645,85302
435,6058,73348-24048,33.597307,-112.167358,853042237
436,6059,75378-103975,33.610462,-112.16136,853064900
437,6060,6690-75361,33.493358,-112.286652,853925653
438,6134,76805-96781,33.429602,-111.905237,852812255
439,6135,13214-103798,33.434404,-111.926012,852812293
440,6136,63309-296918,33.416054,-111.928263,85281
441,6137,29557-251387,33.430507,-111.934022,85281
442,6138,19127-187664,33.409708,-111.925795,852811124
443,6139,74293-74772,33.408945,-111.925101,852821502
444,6140,9623-97419,33.450935,-111.926754,852811517
445,6141,79763-113970,33.416245,-111.873732,852016914
446,6142,28769-250264,33.434596,-111.869296,852017664
447,6143,9996-96407,33.393819,-111.908629,852825603
448,6144,18692-182765,33.467087,-111.912851,85257
449,6145,23522-230687,33.393923,-111.924583,85282
450,6146,6955-263144,33.393267,-111.878467,852024704
451,6147,18890-177524,33.382477,-111.926379,852827012
452,6148,60670-291833,33.3793,-111.907761,852831502
453,6149,23521-230692,33.379371,-111.910713,85282
454,6150,76226-92082,33.392017,-111.864725,852029602
455,6151,6967-89362,33.485669,-111.909308,852516683
456,6152,23311-221604,33.489185,-111.927301,852515538
457,6153,25946-243084,33.37848,-111.859273,852104006
458,6154,72560-102065,33.493826,-111.907485,852512617
459,6155,56887-290378,33.391908,-111.840555,85210
460,6156,5378-1012,33.362893,-111.910673,852833298
461,6157,21988-215864,33.362302,-111.909249,85283
462,6158,16341-160305,33.364418,-111.877043,852027340
463,6159,61419-295828,33.499221,-111.91784,85251
464,6160,23472-228104,33.381939,-111.839697,852106005
465,6161,79701-101004,33.363152,-111.85984,852029101
466,6162,74486-96937,33.348315,-111.913103,852841637
467,7447,74400-83386,34.587125,-112.329858,86314
468,7448,29026-251944,34.591072,-112.339747,863141302
469,7449,6067-145466,34.588048,-112.341651,863142285
470,7450,19168-178224,34.550248,-112.43395,863015665
471,7451,17467-176604,34.600656,-112.458182,86301
472,7452,79642-111047,34.53092,-112.474909,863034626
473,7453,5008-153924,34.554299,-112.482727,863051806
474,7454,74290-74771,34.561591,-112.484257,863011642
475,7455,10799-101144,34.56348,-112.48778,863053415
476,7456,74416-88963,34.7611,-112.452059,86323
477,7457,24883-200585,34.242041,-111.321326,85541
478,7458,52453-281964,34.241143,-111.319735,855414927
479,7459,74418-83388,34.23987,-111.317451,85541
480,7704,76879-121628,35.051738,-114.591519,864429118
481,7705,25967-242726,35.019118,-114.599638,86426
482,7706,59224-292652,35.018514,-114.598461,86426
483,7707,74975-101172,35.017027,-114.599123,864268314
484,7708,74292-74769,35.121517,-114.58852,864426902
485,7709,29702-254211,35.12281,-114.581638,864427906
486,7711,79580-105116,35.214819,-114.036388,864014165
487,7712,11218-102230,35.232506,-114.03761,864093057
488,7713,20215-200588,35.238405,-114.035848,86409
489,7714,48440-263145,34.505047,-114.350003,864032461
490,7715,74229-59079,34.474244,-114.342121,864030961
491,7716,65443-299021,34.476341,-114.334517,86403
492,7717,8853-291985,34.473009,-114.342521,864030938
493,7718,21400-212347,34.477363,-114.322156,86403
494,7719,73707-106060,34.459305,-114.27903,864065788
495,7720,76874-121625,33.254041,-111.641828,851425379
496,7721,25812-241707,33.256719,-111.637435,851429855
497,7722,61993-295818,33.220093,-111.633928,85142
498,7723,74360-83382,33.264854,-111.683741,851423597
499,7724,72564-102069,33.232952,-111.687232,851426151
500,7725,48693-105418,33.306463,-111.677911,85212
501,7726,57475-290248,33.250704,-111.56545,85140
502,7727,58630-292209,33.262465,-111.72008,852985790
503,7728,54835-286763,33.249609,-111.562307,851407005
504,7729,63613-296432,33.304013,-111.700155,85295
505,7730,7137-150410,33.232408,-111.722958,85297
506,7731,73965-138186,33.218287,-111.56562,85140
507,7732,23573-230686,33.290549,-111.719396,85295
508,7733,76301-96596,33.323053,-111.689574,852124201
509,7734,9588-96089,33.325678,-111.687454,85236
510,7735,14225-108521,33.179177,-111.584939,851435221
511,7736,58302-291865,33.33654,-111.60195,85212
